cow_id,timestamp,milk_yield_l,milk_conductivity,milk_temp_c,scc_value
COW109,2026-08-24T10:00:00,12.67,5.31,38.71,550485
COW109,2026-08-25T10:00:00,12.43,5.53,38.82,605605
COW109,2026-08-26T10:00:00,12.06,5.60,38.83,663776
COW109,2026-08-27T10:00:00,11.93,5.87,38.90,722094
COW109,2026-08-28T10:00:00,11.52,5.99,38.94,767882
COW109,2026-08-29T10:00:00,11.18,6.08,39.01,837376
COW109,2026-08-30T10:00:00,10.87,6.25,39.09,882602
COW109,2026-08-31T10:00:00,10.64,6.39,39.14,951545
COW110,2026-08-18T10:00:00,15.23,4.32,38.26,199081
COW110,2026-08-19T10:00:00,14.82,4.48,38.35,268921
COW110,2026-08-20T10:00:00,14.66,4.68,38.48,354120
COW110,2026-08-21T10:00:00,14.06,4.84,38.48,420177
COW110,2026-08-22T10:00:00,13.92,5.07,38.62,499057
COW110,2026-08-23T10:00:00,13.38,5.31,38.73,558169
COW110,2026-08-24T10:00:00,12.74,5.44,38.72,642529
COW110,2026-08-25T10:00:00,12.52,5.64,38.86,717944
COW110,2026-08-26T10:00:00,11.96,5.88,38.94,775364
COW110,2026-08-27T10:00:00,11.78,6.12,38.95,846309
COW110,2026-08-28T10:00:00,11.18,6.28,39.12,928289
COW110,2026-08-29T10:00:00,10.91,6.41,39.17,1006900
COW110,2026-08-30T10:00:00,10.27,6.69,39.26,1079333
COW110,2026-08-31T10:00:00,9.86,6.91,39.33,1146333
